,Year,Average Total Employment,county,state
69,2013,24886.91667,Blount County,AL
70,2014,24535.08333,Blount County,AL
71,2015,24472.83333,Blount County,AL
72,2010,9261,Butler County,AL
73,2011,9188.166667,Butler County,AL
74,2012,9087.583333,Butler County,AL
75,2013,9146.916667,Butler County,AL
76,2014,9272.416667,Butler County,AL
77,2015,9133.583333,Butler County,AL
78,2010,9107.25,Clarke County,AL
79,2011,8843.666667,Clarke County,AL
80,2012,8373.833333,Clarke County,AL
81,2013,8285.083333,Clarke County,AL
82,2014,8157.083333,Clarke County,AL
83,2015,7991.583333,Clarke County,AL
84,2010,21087.83333,Coffee County,AL
85,2011,20749,Coffee County,AL
86,2012,20611.58333,Coffee County,AL
87,2013,20515.41667,Coffee County,AL
88,2014,20234.08333,Coffee County,AL
89,2015,20268.58333,Coffee County,AL
90,2010,17808.75,Dallas County,AL
91,2011,17514.58333,Dallas County,AL
92,2012,16745.66667,Dallas County,AL
93,2013,16293.5,Dallas County,AL
94,2014,16008.25,Dallas County,AL
95,2015,15588.75,Dallas County,AL
96,2010,30941.75,DeKalb County,AL
97,2011,29808.75,DeKalb County,AL
